,Reportado al 18/06 (PÃ¡gina 75),,Reportado al 19/06 ,,Reportado al 19/06,Reportado al 26/06 ,,,
Fecha,Muertes Covid Confirmado DEIS,Muertes Covid Sospechoso DEIS,Muertes Covid Confirmado DEIS,Muertes Covid Sospechoso DEIS,Muertes Todas las Causas DEIS,Muertes Covid Confirmado DEIS,Muertes Covid Sospechoso DEIS,,
15/03,0,0,0,0,250,0,0,0.000,0.000
16/03,0,1,0,1,275,0,1,0.000,0.724
17/03,0,0,0,0,296,0,0,0.000,0.000
18/03,0,0,0,0,305,0,0,0.000,0.000
19/03,1,0,1,0,298,1,0,0.724,0.000
20/03,1,2,1,2,277,1,1,0.724,0.724
21/03,1,2,1,2,276,1,1,0.724,0.724
22/03,0,2,0,2,284,0,1,0.000,0.724
23/03,1,0,1,0,286,1,0,0.724,0.000
24/03,0,4,0,4,274,0,3,0.000,2.813
25/03,1,2,1,2,301,1,1,0.724,0.724
26/03,1,2,1,1,285,1,1,0.724,0.724
27/03,1,6,1,6,290,1,5,0.724,4.872
28/03,1,6,1,6,275,1,6,0.724,5.932
29/03,1,7,1,7,291,1,5,0.724,4.872
30/03,3,6,3,6,299,3,6,2.813,5.932
31/03,5,3,5,3,283,5,3,4.901,2.813
1/04,1,5,1,5,316,1,5,0.724,4.872
2/04,6,5,6,5,279,6,5,5.932,4.872
3/04,7,5,7,5,319,7,5,6.697,4.801
4/04,8,9,8,9,311,8,7,7.727,6.559
5/04,1,9,1,9,281,1,9,0.738,8.645
6/04,5,10,5,10,286,7,7,6.001,6.559
7/04,6,9,6,9,299,7,10,6.001,9.708
8/04,11,5,11,5,288,11,5,10.876,4.801
9/04,9,2,9,2,275,9,2,8.785,1.652
10/04,7,5,7,5,296,7,5,6.691,4.801
11/04,8,6,8,6,300,8,7,7.730,6.559
12/04,4,5,4,5,269,4,6,3.886,5.864
13/04,10,3,10,3,301,10,3,9.817,2.715
14/04,4,12,4,12,299,4,11,3.882,10.730
15/04,11,7,11,7,303,11,7,10.874,6.559
16/04,8,6,8,6,289,8,7,7.727,6.559
17/04,6,2,6,2,283,6,2,6.000,1.652
18/04,6,9,6,9,291,7,8,6.691,7.581
19/04,10,14,10,14,318,10,14,9.818,13.879
20/04,10,9,10,9,310,10,7,9.817,6.559
21/04,11,11,11,11,288,11,9,10.879,8.645
22/04,5,13,5,13,306,5,13,4.948,12.816
23/04,8,12,8,12,289,8,10,7.729,9.708
24/04,8,10,8,10,293,9,8,8.787,7.737
25/04,7,15,7,15,307,7,11,6.728,10.845
26/04,13,8,13,8,303,13,8,12.943,7.737
27/04,14,12,14,12,334,14,11,13.954,10.845
28/04,8,21,8,21,299,8,19,7.778,18.798
29/04,8,10,8,10,260,9,9,8.787,8.787
30/04,13,7,13,7,308,13,7,12.945,6.042
1/05,11,13,11,13,289,11,14,10.845,13.954
2/05,7,14,7,14,287,9,11,8.787,10.845
3/05,18,19,18,19,304,19,15,18.798,14.640
4/05,14,10,14,10,337,15,10,14.640,9.836
5/05,14,13,14,13,339,14,12,13.954,11.895
6/05,22,13,22,13,325,22,11,21.906,10.845
7/05,31,14,31,14,339,32,10,31.876,9.836
8/05,19,19,19,19,323,19,18,18.798,17.748
9/05,33,17,33,17,329,34,17,33.612,16.699
10/05,32,24,32,23,344,33,16,32.563,15.689
11/05,25,21,25,21,288,25,19,24.651,18.798
12/05,31,14,31,14,298,32,12,31.876,11.895
13/05,40,27,40,28,363,41,18,40.838,17.748
14/05,44,31,44,31,370,43,28,42.573,27.759
15/05,43,11,43,11,375,43,11,42.703,10.906
16/05,60,26,60,26,368,60,25,59.705,24.793
17/05,54,36,54,36,366,56,30,55.811,29.984
18/05,66,34,66,34,368,75,22,74.889,21.937
19/05,70,27,70,27,409,72,22,71.775,21.937
20/05,80,30,80,30,399,80,26,79.691,25.831
21/05,76,38,76,39,387,78,36,77.615,35.824
22/05,81,34,80,35,423,83,31,82.806,30.893
23/05,104,45,104,45,449,106,40,105.648,39.977
24/05,117,46,117,46,472,119,43,118.886,42.703
25/05,95,55,95,55,470,99,45,98.770,44.779
26/05,115,53,115,53,482,119,48,118.886,47.894
27/05,135,58,135,57,516,141,55,140.690,54.773
28/05,126,47,126,47,445,129,43,128.880,42.703
29/05,137,61,137,60,478,140,52,139.652,51.658
30/05,142,54,142,54,485,150,46,149.645,45.818
31/05,122,61,123,62,465,128,63,127.841,62.819
1/06,155,66,155,66,555,158,62,157.562,61.781
2/06,151,68,151,68,535,156,60,155.485,59.705
3/06,159,87,159,87,551,166,79,165.479,78.653
4/06,152,61,152,61,506,164,50,164.441,49.971
5/06,135,99,135,100,515,168,73,167.555,72.813
6/06,151,101,151,101,565,177,74,176.640,73.851
7/06,144,95,144,95,565,163,73,162.753,72.813
8/06,134,98,134,97,500,151,76,150.683,75.928
9/06,156,115,156,114,557,185,84,184.557,83.845
10/06,137,116,137,116,550,174,73,173.525,72.813
11/06,122,130,122,128,518,184,73,183.519,72.813
12/06,68,125,68,127,437,177,63,176.640,62.819
13/06,56,125,56,123,401,189,60,188.710,59.705
14/06,48,156,48,159,492,173,68,172.747,67.621
15/06,54,163,54,166,432,164,108,163.792,107.725
16/06,29,161,29,169,410,184,75,183.519,74.889
17/06,9,34,9,38,90,183,72,182.481,71.775
18/06,,,,,,126,73,125.765,72.813
19/06,,,,,,144,75,143.805,74.889
20/06,,,,,,133,67,132.643,66.973
21/06,,,,,,140,93,139.652,92.929
22/06,,,,,,126,72,125.765,71.775
23/06,,,,,,115,53,114.733,52.696
24/06,,,,,,88,58,87.738,57.888
25/06,,,,,,19,13,18.823,12.982
26/06,,,,,,,,,
27/06,,,,,,,,,
28/06,,,,,,,,,
29/06,,,,,,,,,
30/06,,,,,,,,,