Región,Comuna,CUT,"ELECCIÓN PRESIDENCIAL 2021, PRIMERA VUELTA",,,,,,,,,,,,,,"ELECCIÓN PRESIDENCIAL 2021, SEGUNDA VUELTA",,,,,,,,PRIMARIAS PRESIDENCIALES 2021,,,,,,,,,,,,,,,PLEBISCITO 2020,,,,PLEBISCITO 1988,,,
13,El Monte,13602,83,83,28.129,3.596,3.130,1.764,1.458,204,1.289,1.890,13.331,149,83,13.563,83,83,10.139,6.232,16.371,145,47,16.563,41,41,27.228,2.263,792,178,1.075,218,3.105,1.732,1.373,5.368,84,14,5.466,12.605,2.378,64,28,6.273,5.500,264,
5,El Quisco,5604,43,43,14.675,2.406,2.027,815,1.022,123,663,889,7.945,43,19,8.007,43,43,5.413,3.972,9.385,68,13,9.466,21,21,13.990,1.377,494,101,616,166,2.357,1.226,1.131,3.734,39,3,3.776,5.767,1.437,30,7,1.597,1.506,72,
5,El Tabo,5605,37,37,12.832,2.224,1.791,840,799,141,759,535,7.089,38,18,7.145,37,37,5.030,3.287,8.317,60,15,8.392,19,19,12.105,1.069,401,82,462,124,2.058,997,1.061,3.127,42,1,3.170,4.675,1.142,19,6,1.253,1.022,46,
7,Empedrado,7104,15,15,4.523,183,855,235,192,6,94,300,1.865,17,11,1.893,15,15,644,1.797,2.441,31,8,2.480,7,7,4.521,303,112,30,117,44,154,127,27,457,6,2,465,821,676,9,7,1.182,791,70,
9,Ercilla,9204,28,28,8.036,485,1.490,322,211,50,182,179,2.919,33,20,2.972,28,28,1.632,2.232,3.864,34,10,3.908,9,9,7.964,520,215,25,230,50,333,167,166,853,12,6,871,1.521,1.020,26,26,2.356,1.494,191,
13,Estación Central,13106,399,399,125.639,18.230,12.049,5.736,6.345,1.163,5.491,3.632,52.646,591,194,53.431,399,399,41.330,22.390,63.720,471,155,64.346,129,129,123.851,8.565,2.888,606,4.018,1.053,18.007,9.325,8.682,26.572,346,36,26.954,52.728,9.905,241,66,31.451,56.916,1.714,
8,Florida,8104,34,34,10.550,623,1.562,804,606,55,317,675,4.642,59,38,4.739,34,34,2.181,3.442,5.623,55,16,5.694,12,12,10.324,814,318,59,345,92,536,365,171,1.350,13,3,1.366,2.612,1.110,23,12,3.859,2.614,222,
9,Freire,9105,77,77,22.892,1.381,3.630,1.630,911,126,571,950,9.199,120,90,9.409,77,77,4.428,6.578,11.006,86,36,11.128,25,25,22.481,1.385,530,104,588,163,1.032,651,381,2.417,46,8,2.471,5.198,2.401,51,20,6.519,4.956,333,
3,Freirina,3303,18,18,6.051,425,305,1.168,135,22,69,512,2.636,17,12,2.665,18,18,2.132,746,2.878,23,7,2.908,9,9,5.798,184,58,12,100,14,378,135,243,562,2,5,569,2.465,221,14,1,1.312,1.136,88,
10,Fresia,10104,42,42,12.172,838,2.052,1.178,458,44,211,491,5.272,63,69,5.404,42,42,2.840,3.501,6.341,51,20,6.412,14,14,11.890,767,280,38,354,95,548,329,219,1.315,17,12,1.344,3.166,1.479,20,18,3.386,3.469,148,
10,Frutillar,10105,51,51,17.227,1.351,3.260,1.329,786,60,375,1.208,8.369,54,63,8.486,51,51,4.276,5.333,9.609,75,20,9.704,18,18,16.685,1.711,481,149,894,187,1.220,771,449,2.931,46,11,2.988,5.185,2.674,36,13,3.158,2.974,129,
10,Futaleufú,10402,12,12,3.885,208,435,155,150,15,34,60,1.057,8,14,1.079,12,12,558,855,1.413,14,5,1.432,4,4,3.864,178,68,19,66,25,154,98,56,332,1,0,333,630,330,2,3,776,178,30,
14,Futrono,14202,46,46,14.801,1.008,2.803,902,692,74,244,806,6.529,67,42,6.638,46,46,2.786,4.902,7.688,60,28,7.776,17,17,14.366,1.240,408,103,610,119,739,472,267,1.979,26,6,2.011,3.484,2.184,38,26,4.104,2.436,142,
9,Galvarino,9106,37,37,12.092,880,1.802,1.134,364,73,376,473,5.102,68,59,5.229,37,37,2.734,3.326,6.060,41,26,6.127,13,13,11.895,628,212,33,300,83,446,255,191,1.074,13,8,1.095,2.472,995,46,24,4.044,2.515,215,
15,General Lagos,15202,6,6,1.948,24,140,39,26,5,26,239,499,7,7,513,6,6,65,251,316,9,1,326,2,2,1.914,20,14,0,6,0,9,4,5,29,5,0,34,220,80,9,4,504,17,27,
9,Gorbea,9107,49,49,15.651,794,3.155,841,805,40,228,639,6.502,55,45,6.602,49,49,2.549,5.486,8.035,57,17,8.109,17,17,15.421,1.376,437,89,729,121,661,438,223,2.037,21,11,2.069,3.290,2.084,25,20,5.261,3.282,168,
6,Graneros,6106,80,80,27.062,3.724,2.891,1.517,1.479,153,1.348,2.238,13.350,166,65,13.581,80,80,10.092,5.673,15.765,120,48,15.933,40,40,26.443,2.053,515,143,1.231,164,3.193,1.903,1.290,5.246,77,21,5.344,12.968,2.230,61,33,4.519,8.295,335,
11,Guaitecas,11203,6,6,1.696,129,150,80,43,4,18,68,492,2,5,499,6,6,365,259,624,6,0,630,3,3,1.648,60,21,11,21,7,53,27,26,113,3,1,117,488,117,0,2,352,114,11,
5,Hijuelas,5503,46,46,15.727,1.454,1.725,762,778,59,644,1.894,7.316,72,34,7.422,46,46,4.721,3.693,8.414,76,28,8.518,16,16,15.509,1.028,255,73,611,89,1.154,771,383,2.182,28,6,2.216,6.338,1.266,28,16,4.280,3.360,281,
10,Hualaihué,10403,29,29,8.774,628,1.041,600,389,48,223,678,3.607,51,70,3.728,29,29,2.046,2.181,4.227,33,21,4.281,15,15,8.595,366,155,31,138,42,402,257,145,768,15,4,787,2.325,524,13,9,2.320,716,124,
7,Hualañé,7302,32,32,9.788,817,992,1.017,660,40,259,366,4.151,37,30,4.218,32,32,3.167,2.442,5.609,35,27,5.671,16,16,9.575,689,222,47,364,56,665,411,254,1.354,23,5,1.382,3.300,784,24,10,2.337,3.194,129,
8,Hualpén,8112,244,244,77.313,8.184,9.919,4.598,3.711,523,3.421,8.828,39.184,290,115,39.589,244,244,26.020,20.086,46.106,407,96,46.609,81,81,74.010,6.012,1.768,433,3.058,753,8.676,5.715,2.961,14.688,276,30,14.994,34.255,9.006,189,74,,,,
8,Hualqui,8105,63,63,20.705,1.433,2.304,1.063,823,103,847,1.802,8.375,94,66,8.535,63,63,5.354,5.317,10.671,100,35,10.806,21,21,20.000,1.290,392,76,653,169,1.401,925,476,2.691,39,14,2.744,7.378,1.944,59,46,3.694,4.973,346,
1,Huara,1404,36,36,9.045,207,479,157,88,12,78,667,1.688,21,16,1.725,36,36,545,990,1.535,18,5,1.558,11,11,9.013,169,98,6,59,6,150,100,50,319,6,1,326,1.136,379,8,6,531,305,101,
3,Huasco,3304,25,25,8.454,641,538,1.309,196,58,193,930,3.865,33,15,3.913,25,25,3.131,1.182,4.313,36,9,4.358,13,13,8.217,317,112,23,153,29,729,324,405,1.046,12,9,1.067,3.808,404,18,6,1.757,2.077,91,
13,Huechuraba,13107,223,223,74.581,11.004,9.452,4.524,6.760,771,4.067,3.205,39.783,308,158,40.249,223,223,28.680,18.934,47.614,495,162,48.271,112,112,72.586,9.295,2.679,1.071,4.728,817,13.879,8.513,5.366,23.174,364,45,23.583,37.173,8.562,153,71,10.336,20.282,732,
4,Illapel,4201,82,82,27.992,3.146,1.953,2.104,1.061,150,745,2.738,11.897,82,70,12.049,82,82,9.971,4.239,14.210,95,40,14.345,28,28,27.454,1.091,301,79,613,98,2.309,1.333,976,3.400,34,10,3.444,11.166,1.382,56,29,5.497,10.050,567,
13,Independencia,13108,246,246,82.526,11.569,8.327,3.408,4.646,749,2.806,2.072,33.577,208,97,33.882,246,246,24.430,15.503,39.933,289,121,40.343,82,82,81.554,6.504,2.231,490,3.048,735,12.183,6.679,5.504,18.687,257,25,18.969,31.299,6.991,130,51,20.700,29.330,932,
1,Iquique,1101,616,616,167.349,15.562,24.113,6.037,6.581,982,4.687,15.755,73.717,556,404,74.677,616,616,39.398,40.070,79.468,733,238,80.439,167,167,162.355,12.289,3.699,800,6.356,1.434,16.389,9.616,6.773,28.678,503,65,29.246,61.103,18.879,275,114,33.354,39.582,1.879,Incluye Alto Hospicio
13,Isla de Maipo,13603,83,83,28.606,3.466,3.638,1.827,1.743,199,1.367,1.505,13.745,98,68,13.911,83,83,10.118,7.141,17.259,97,34,17.390,28,28,27.891,2.745,894,270,1.366,215,3.642,2.354,1.288,6.387,99,10,6.496,12.381,2.765,59,21,4.499,5.671,215,
5,Isla de Pascua,5201,19,19,6.493,972,581,352,314,41,323,311,2.894,60,73,3.027,19,19,2.016,853,2.869,39,15,2.923,10,10,6.318,385,118,36,168,63,795,429,366,1.180,19,8,1.207,2.292,416,11,7,630,462,23,
5,Juan Fernández,5104,3,3,930,144,61,37,42,5,22,6,317,1,3,321,3,3,282,118,400,0,1,401,2,2,948,49,16,3,13,17,129,103,26,178,2,0,180,377,62,0,0,204,37,26,
13,La Cisterna,13109,259,259,81.931,13.048,9.830,4.101,5.577,733,3.410,2.560,39.259,308,78,39.645,259,259,28.900,18.881,47.781,357,91,48.229,87,87,80.586,7.507,2.484,554,3.543,926,13.398,7.818,5.580,20.905,293,26,21.224,37.198,8.483,124,42,26.103,37.175,1.289,
5,La Cruz,5504,49,49,16.779,2.124,2.639,808,1.249,100,646,1.616,9.182,53,17,9.252,49,49,5.571,4.915,10.486,109,32,10.627,25,25,16.248,1.823,406,122,1.116,179,2.045,1.374,671,3.868,56,4,3.928,6.989,1.988,22,7,2.813,3.190,143,
6,La Estrella,6202,15,15,3.799,406,514,326,301,19,113,128,1.807,12,24,1.843,15,15,1.085,1.175,2.260,14,8,2.282,6,6,3.658,315,97,21,156,41,286,160,126,601,8,0,609,1.158,315,8,3,1.119,821,33,
13,La Florida,13110,918,918,308.805,58.319,33.562,16.861,23.602,3.003,13.959,10.735,160.041,1.081,431,161.553,918,918,125.000,68.018,193.018,1.403,445,194.866,307,307,303.808,29.542,9.363,2.471,14.883,2.825,57.613,33.872,23.741,87.155,1.104,126,88.385,153.235,28.696,479,179,54.329,93.264,2.911,
13,La Granja,13111,318,318,102.187,14.887,8.105,5.911,4.561,1.002,5.644,4.760,44.870,366,133,45.369,318,318,38.965,16.492,55.457,339,117,55.913,106,106,99.742,6.446,2.104,391,3.197,754,13.745,6.884,6.861,20.191,313,40,20.544,49.981,7.065,206,74,22.607,41.448,1.670,
4,La Higuera,4104,14,14,4.487,459,322,296,109,30,116,405,1.737,23,26,1.786,14,14,1.300,654,1.954,10,4,1.968,7,7,4.406,156,88,10,43,15,222,86,136,378,6,2,386,1.345,206,9,4,572,813,57,
5,La Ligua,5401,92,92,30.495,4.229,3.165,1.896,1.680,195,1.079,2.257,14.501,114,59,14.674,92,92,10.990,6.697,17.687,117,38,17.842,31,31,29.912,1.913,442,126,1.072,273,3.483,1.751,1.732,5.396,62,16,5.474,13.580,2.340,57,24,6.248,8.177,343,
13,La Pintana,13112,507,508,137.994,16.023,9.018,7.554,4.585,1.227,9.024,7.364,54.795,561,275,55.631,508,508,49.968,18.551,68.519,449,172,69.140,136,136,135.091,7.825,2.849,538,3.532,906,15.425,7.376,8.049,23.250,408,73,23.731,64.779,8.487,340,117,17.864,37.462,1.411,
13,La Reina,13113,283,283,90.939,15.721,17.036,6.293,13.724,574,1.779,1.222,56.349,289,151,56.789,283,283,30.753,31.593,62.346,848,403,63.597,142,142,90.043,18.305,5.649,3.156,8.290,1.210,18.953,13.902,5.051,37.258,282,47,37.587,39.970,19.003,127,83,26.307,29.437,848,
4,La Serena,4101,524,524,179.322,23.245,20.297,9.044,10.033,1.218,5.558,13.743,83.138,533,255,83.926,524,524,59.745,39.209,98.954,856,297,100.107,174,174,174.260,13.951,3.795,1.217,7.758,1.181,21.987,13.737,8.250,35.938,550,73,36.561,73.254,16.545,224,101,27.829,34.684,1.537,
14,La Unión,14201,110,110,35.752,2.783,5.954,2.322,1.840,163,763,2.212,16.037,109,97,16.243,110,110,8.200,10.593,18.793,124,50,18.967,38,38,34.759,2.858,905,186,1.418,349,2.172,1.448,724,5.030,76,9,5.115,10.749,4.063,70,26,11.801,9.314,443,
14,Lago Ranco,14203,37,37,9.616,703,1.740,655,475,51,188,487,4.299,67,64,4.430,37,37,1.940,3.085,5.025,36,30,5.091,11,11,9.408,776,301,54,350,71,508,294,214,1.284,18,6,1.308,2.093,1.208,26,21,3.312,1.585,186,
11,Lago Verde,11102,5,5,1.247,75,216,65,46,11,16,31,460,11,5,476,5,5,255,316,571,7,5,583,3,3,1.236,79,44,2,20,13,71,33,38,150,2,0,152,247,124,0,2,285,156,16,
12,Laguna Blanca,12102,3,3,822,57,134,33,24,3,26,25,302,2,2,306,3,3,166,173,339,2,3,344,1,1,797,44,10,2,27,5,26,22,4,70,1,0,71,139,62,0,0,114,55,2,
8,Laja,8304,65,65,21.631,1.299,2.709,1.017,880,83,632,2.295,8.915,118,64,9.097,65,65,4.594,5.656,10.250,97,36,10.383,22,22,21.332,1.266,411,110,605,140,1.284,876,408,2.550,41,8,2.599,7.030,2.202,70,25,5.767,7.540,411,
13,Lampa,13302,187,187,62.829,7.393,7.308,2.752,3.676,456,3.219,3.985,28.789,212,121,29.122,187,187,20.285,15.090,35.375,273,83,35.731,62,62,59.964,5.249,1.450,399,2.738,662,7.839,4.721,3.118,13.088,227,29,13.344,25.995,5.399,94,53,6.050,5.881,289,
14,Lanco,14103,50,50,16.367,1.413,2.312,981,561,78,309,1.000,6.654,59,69,6.782,50,50,4.090,4.208,8.298,61,29,8.388,18,18,16.050,1.096,378,90,486,142,999,533,466,2.095,36,13,2.144,5.084,1.561,28,24,4.909,3.069,159,
6,Las Cabras,6107,65,65,20.829,1.993,2.392,1.470,1.282,104,779,826,8.846,96,97,9.039,65,65,6.025,4.833,10.858,53,26,10.937,21,21,20.303,1.364,444,89,745,86,1.510,925,585,2.874,39,10,2.923,7.187,1.426,36,19,5.033,4.549,268,
13,Las Condes,13114,803,803,271.386,22.145,78.095,12.286,53.138,598,2.556,1.826,170.644,716,343,171.703,803,803,47.662,132.125,179.787,2.930,1.230,183.947,401,401,268.383,88.552,34.398,14.998,35.979,3.177,31.741,26.835,4.906,120.293,797,119,121.209,73.386,92.459,461,237,72.357,50.327,1.623,
9,Lautaro,9108,102,102,34.520,2.171,6.914,2.197,1.281,144,785,1.829,15.321,169,96,15.586,102,102,6.703,11.118,17.821,132,42,17.995,35,35,33.809,3.027,1.063,182,1.392,390,1.989,1.433,556,5.016,89,17,5.122,8.037,4.788,68,22,8.397,7.266,440,
8,Lebu,8201,67,67,22.302,1.581,3.442,1.361,527,95,647,1.238,8.891,115,80,9.086,67,67,4.796,5.908,10.704,94,36,10.834,24,24,21.923,1.206,439,65,501,201,1.440,971,469,2.646,45,11,2.702,5.630,2.786,74,26,4.611,7.693,294,
7,Licantén,7303,24,24,6.897,562,735,539,628,29,187,347,3.027,15,12,3.054,24,24,2.219,1.690,3.909,19,22,3.950,11,11,6.761,628,138,34,419,37,408,294,114,1.036,19,2,1.057,2.412,492,16,9,1.628,1.878,115,
5,Limache,5802,117,117,40.056,5.242,5.734,1.791,2.418,280,1.295,2.528,19.288,170,79,19.537,117,117,12.427,10.222,22.649,202,64,22.915,39,39,39.220,3.653,890,311,2.000,452,4.629,2.857,1.772,8.282,114,22,8.418,15.572,4.531,77,41,8.945,9.147,513,Incluye parte de Concón
7,Linares,7401,241,241,82.252,7.900,12.574,4.137,4.493,318,2.371,4.896,36.689,288,157,37.134,241,241,20.961,23.077,44.038,275,103,44.416,80,80,79.924,6.792,2.147,427,3.137,1.081,6.556,4.409,2.147,13.348,190,31,13.569,25.878,9.828,124,48,21.727,20.283,830,
6,Litueche,6203,22,22,6.624,673,935,615,470,31,200,208,3.132,26,28,3.186,22,22,2.023,1.924,3.947,16,9,3.972,11,11,6.518,505,178,35,261,31,480,290,190,985,9,1,995,1.971,547,7,4,1.615,1.341,83,
5,Llaillay,5703,62,62,21.043,2.900,1.688,1.441,1.006,169,974,2.060,10.238,125,49,10.412,62,62,8.753,3.601,12.354,88,28,12.470,21,21,20.659,1.145,287,63,638,157,2.580,1.161,1.419,3.725,47,7,3.779,10.304,1.275,51,15,5.062,5.655,283,
10,Llanquihue,10107,48,48,16.207,1.395,2.618,1.186,627,66,553,1.390,7.835,63,70,7.968,48,48,4.639,4.390,9.029,73,31,9.133,16,16,15.765,1.268,405,100,630,133,1.240,839,401,2.508,35,4,2.547,5.682,2.077,27,25,3.487,3.608,148,
13,Lo Barnechea,13115,248,248,84.259,4.617,28.309,2.570,16.644,200,1.249,1.189,54.778,164,102,55.044,248,248,12.248,46.038,58.286,859,294,59.439,124,124,82.750,32.935,10.074,5.721,16.526,614,6.099,4.663,1.436,39.034,313,38,39.385,21.111,33.903,178,66,10.092,9.045,307,
13,Lo Espejo,13116,305,305,88.815,12.552,6.382,4.562,3.233,923,5.690,4.296,37.638,298,164,38.100,304,305,34.404,12.651,47.055,295,119,47.469,91,91,87.513,5.259,1.783,329,2.488,659,12.044,5.417,6.627,17.303,309,44,17.656,44.806,5.474,215,99,24.085,45.247,1.508,
13,Lo Prado,13117,272,272,86.901,12.923,7.554,4.785,4.434,910,5.272,3.878,39.756,449,166,40.371,272,272,33.698,15.500,49.198,345,86,49.629,91,91,85.417,6.717,2.163,459,3.197,898,13.283,6.723,6.560,20.000,306,33,20.339,44.379,6.697,216,74,20.852,40.700,1.276,
6,Lolol,6304,21,21,6.957,568,812,654,569,18,120,228,2.969,18,39,3.026,21,21,1.822,1.989,3.811,18,11,3.840,11,11,6.716,533,155,46,302,30,388,278,110,921,14,0,935,1.815,593,15,10,2.222,1.557,133,
9,Loncoche,9109,76,76,23.234,1.516,3.501,1.537,938,93,588,1.306,9.479,87,74,9.640,76,76,5.063,6.133,11.196,80,31,11.307,26,26,22.862,1.464,467,121,670,206,1.301,796,505,2.765,35,8,2.808,6.125,2.072,27,13,6.800,5.151,285,
7,Longaví,7403,79,79,27.055,1.644,4.182,1.414,1.186,56,518,1.077,10.077,87,66,10.230,79,79,5.066,8.297,13.363,78,33,13.474,26,26,26.322,1.630,788,80,535,227,1.119,687,432,2.749,25,7,2.781,5.457,2.346,41,15,9.272,5.251,332,
9,Lonquimay,9205,40,40,12.115,580,2.144,880,326,32,169,427,4.558,78,101,4.737,40,40,1.878,3.478,5.356,64,25,5.445,21,21,12.109,481,175,40,212,54,264,148,116,745,14,8,767,1.963,1.318,42,26,3.929,642,239,
8,Los Álamos,8206,58,58,18.230,1.030,3.497,1.073,477,78,380,1.267,7.802,80,63,7.945,58,58,3.561,5.882,9.443,74,27,9.544,20,20,17.773,1.141,510,69,383,179,858,523,335,1.999,32,9,2.040,4.194,2.393,35,28,3.070,4.483,269,
5,Los Andes,5301,166,166,55.912,7.177,7.144,3.241,3.590,330,2.268,5.366,29.116,279,124,29.519,166,166,19.279,12.976,32.255,480,96,32.831,56,56,55.278,5.111,1.491,390,2.670,560,7.012,4.569,2.443,12.123,179,17,12.319,25.366,5.773,100,37,11.066,15.167,570,
8,Los Ángeles,8301,556,556,164.725,9.446,29.438,6.438,8.842,615,3.254,11.658,69.691,501,341,70.533,556,556,28.680,55.225,83.905,593,231,84.729,181,181,160.318,16.900,5.079,1.130,9.151,1.540,10.241,7.605,2.636,27.141,450,63,27.654,43.288,24.965,320,172,42.821,29.775,1.818,
14,Los Lagos,14104,62,62,19.109,1.476,2.851,1.055,698,60,396,1.091,7.627,72,60,7.759,62,62,4.038,5.272,9.310,60,31,9.401,22,22,18.621,1.078,313,61,574,130,1.294,786,508,2.372,29,7,2.408,5.399,2.050,38,25,4.867,4.307,212,
10,Los Muermos,10106,49,49,16.423,796,3.214,858,715,37,245,759,6.624,69,124,6.817,49,49,2.499,5.567,8.066,50,35,8.151,17,17,16.191,1.190,539,62,503,86,577,415,162,1.767,28,11,1.806,2.780,2.284,23,29,5.448,2.746,175,
9,Los Sauces,9206,26,26,7.464,386,1.881,462,310,28,130,277,3.474,48,49,3.571,26,26,1.156,2.851,4.007,19,11,4.037,13,13,7.387,587,238,37,267,45,217,151,66,804,10,2,816,1.409,1.050,24,12,2.804,2.148,105,
4,Los Vilos,4203,57,57,18.641,2.142,1.431,1.331,801,150,659,1.322,7.836,75,42,7.953,57,57,6.614,3.067,9.681,67,22,9.770,19,19,18.128,1.025,344,77,485,119,1.945,1.064,881,2.970,46,8,3.024,7.679,1.153,25,18,2.842,4.762,216,
8,Lota,8106,147,147,47.446,3.892,6.201,3.074,1.290,218,1.827,4.624,21.126,283,144,21.553,147,147,13.409,11.055,24.464,266,89,24.819,49,49,46.206,2.434,846,160,1.042,386,3.510,1.955,1.555,5.944,144,29,6.117,17.051,5.664,159,69,7.073,23.369,642,
9,Lumaco,9207,35,35,9.187,556,2.443,455,227,52,175,241,4.149,42,51,4.242,35,35,1.542,3.585,5.127,22,9,5.158,17,17,9.037,600,197,28,341,34,283,158,125,883,15,1,899,1.711,1.206,31,31,3.956,1.857,183,
6,Machalí,6108,114,114,38.282,5.093,5.587,1.848,3.171,172,1.619,2.884,20.374,164,94,20.632,114,114,13.176,10.630,23.806,227,62,24.095,57,57,37.164,4.511,1.064,435,2.691,321,5.241,3.708,1.533,9.752,138,28,9.918,16.393,4.461,43,35,4.060,7.395,304,
13,Macul,13118,370,370,100.045,19.448,11.867,5.997,8.406,963,4.320,3.105,54.106,350,139,54.595,370,370,40.364,22.973,63.337,475,202,64.014,99,99,99.055,9.834,3.076,860,4.939,959,19.314,11.685,7.629,29.148,297,36,29.481,49.762,10.384,170,76,26.242,43.684,1.370,
14,Máfil,14105,24,24,7.191,479,1.292,423,283,29,187,647,3.340,38,39,3.417,24,24,1.527,2.266,3.793,31,10,3.834,12,12,7.001,558,136,43,327,52,386,244,142,944,11,2,957,2.049,785,10,9,2.358,1.492,60,
13,Maipú,13119,1.186,1.186,392.526,75.646,42.681,19.369,25.947,4.173,20.921,17.651,206.388,1.631,600,208.619,1.186,1.186,167.374,83.807,251.181,1.670,442,253.293,396,396,382.398,33.282,9.306,2.654,17.533,3.789,74.717,44.740,29.977,107.999,1.408,136,109.543,208.747,33.518,644,206,34.956,59.142,1.891,
6,Malloa,6109,43,43,12.391,1.064,1.691,794,682,43,414,686,5.374,63,25,5.462,43,43,3.443,3.370,6.813,48,22,6.883,21,21,12.177,1.025,260,55,613,97,814,538,276,1.839,23,2,1.864,4.246,1.149,26,14,3.472,2.775,131,
6,Marchihue,6204,22,22,7.159,669,755,595,605,33,171,240,3.068,15,21,3.104,22,22,2.209,1.831,4.040,28,7,4.075,11,11,6.997,573,152,22,360,39,487,331,156,1.060,10,5,1.075,2.408,499,11,8,1.808,1.690,75,
2,María Elena,2302,23,23,6.173,265,212,148,73,34,118,964,1.814,58,8,1.880,23,23,1.350,476,1.826,24,5,1.855,8,8,6.187,116,49,11,37,19,228,89,139,344,8,3,355,1.938,187,8,5,4.790,5.322,311,
13,María Pinto,13504,35,35,11.862,1.507,1.503,760,793,52,419,485,5.519,30,32,5.581,35,35,3.959,2.908,6.867,41,14,6.922,12,12,11.565,953,295,81,491,86,1.154,662,492,2.107,25,9,2.141,4.424,1.022,15,12,2.675,2.034,104,
14,Mariquina,14106,64,64,19.123,1.520,2.346,1.226,667,72,391,1.543,7.765,71,61,7.897,64,64,4.854,4.499,9.353,47,29,9.429,22,22,18.344,1.018,288,71,536,123,1.078,696,382,2.096,30,6,2.132,5.934,1.783,31,24,4.771,3.994,193,
7,Maule,7105,78,78,25.279,2.117,3.418,1.525,1.544,94,968,2.339,12.005,109,82,12.196,78,78,6.959,7.158,14.117,296,43,14.456,26,26,24.348,2.134,653,131,961,389,1.724,1.085,639,3.858,48,13,3.919,8.355,2.454,52,16,3.342,3.581,133,
10,Maullín,10108,58,58,15.329,882,2.197,941,496,50,208,715,5.489,45,60,5.594,58,58,2.791,4.087,6.878,51,29,6.958,19,19,14.966,691,309,36,267,79,513,329,184,1.204,19,3,1.226,3.418,1.633,30,14,4.581,3.354,191,
2,Mejillones,2102,30,30,10.072,747,589,350,199,52,270,1.656,3.863,30,15,3.908,30,30,3.050,1.398,4.448,54,13,4.515,15,15,9.771,373,101,33,198,41,894,339,555,1.267,16,3,1.286,4.572,533,16,7,1.240,2.080,81,
