Región,Comuna,CUT,"ELECCIÓN PRESIDENCIAL 2021, PRIMERA VUELTA",,,,,,,,,,,,,,"ELECCIÓN PRESIDENCIAL 2021, SEGUNDA VUELTA",,,,,,,,PRIMARIAS PRESIDENCIALES 2021,,,,,,,,,,,,,,,PLEBISCITO 2020,,,,PLEBISCITO 1988,,,
9,Melipeuco,9110,23,23,7.723,362,944,328,199,26,95,247,2.201,29,20,2.250,23,23,1.122,2.049,3.171,19,10,3.200,8,8,7.707,313,111,16,134,52,238,120,118,551,5,2,558,1.542,584,15,18,2.418,697,74,
13,Melipilla,13501,286,286,98.064,10.619,12.235,4.810,5.546,590,2.810,4.351,40.961,327,190,41.478,286,286,28.453,23.517,51.970,305,94,52.369,95,95,96.435,7.713,2.297,555,4.166,695,9.113,5.703,3.410,21.218,257,28,17.111,34.983,7.901,150,63,22.742,20.556,1.159,
7,Molina,7304,119,119,39.735,3.961,4.884,3.244,2.255,185,1.647,2.641,18.817,197,117,19.131,119,119,13.143,9.576,22.719,164,59,22.942,40,40,38.872,3.047,940,212,1.500,395,3.406,2.132,1.274,6.453,86,20,6.559,15.425,3.694,69,26,8.604,13.167,577,
4,Monte Patria,4303,102,102,28.145,1.972,1.894,1.837,794,185,748,2.623,10.053,115,80,10.248,102,102,7.966,3.976,11.942,109,55,12.106,29,29,27.659,1.093,414,106,468,105,1.477,792,685,2.570,45,16,2.631,9.838,1.275,56,23,7.402,7.204,567,
6,Mostazal,6110,64,64,21.204,2.657,2.281,1.117,1.063,128,856,1.594,9.696,104,53,9.853,64,64,7.721,4.469,12.190,97,34,12.321,22,22,20.689,1.654,486,140,891,137,2.343,1.240,1.103,3.997,74,8,4.079,9.673,1.712,32,21,4.017,5.101,193,
8,Mulchén,8305,79,79,26.746,1.351,3.762,1.613,822,86,465,1.830,9.929,104,117,10.150,79,79,5.384,7.117,12.501,125,56,12.682,27,27,26.338,1.589,529,112,753,195,1.252,842,410,2.841,61,15,2.917,7.252,2.760,76,48,9.802,6.579,434,
8,Nacimiento,8306,72,72,24.563,1.367,3.693,1.264,836,96,548,2.874,10.678,84,73,10.835,72,72,4.693,7.253,11.946,101,51,12.098,24,24,24.265,1.660,545,120,810,185,1.531,1.056,475,3.191,51,9,3.251,7.267,3.060,47,29,6.355,6.913,434,
6,Nancagua,6305,45,45,15.306,1.338,1.661,1.276,1.064,60,395,1.006,6.800,47,40,6.887,45,45,4.839,3.629,8.468,45,20,8.533,15,15,14.968,1.084,297,84,641,62,1.133,757,376,2.217,25,4,2.246,5.840,1.187,23,9,3.081,3.052,131,
12,Natales,12401,69,69,22.672,2.437,2.039,1.253,573,91,722,980,8.095,105,72,8.272,69,69,6.024,3.470,9.494,68,26,9.588,24,24,22.226,779,312,68,287,112,1.748,1.199,549,2.527,55,3,2.585,6.506,1.251,25,16,4.998,6.109,275,
6,Navidad,6205,21,21,7.214,807,761,622,527,53,217,204,3.191,27,28,3.246,21,21,2.376,1.744,4.120,38,14,4.172,11,11,6.973,602,146,68,332,56,692,401,291,1.294,20,2,1.316,2.322,568,14,10,1.585,1.832,100,
8,Negrete,8307,30,30,9.084,350,1.545,508,399,25,217,661,3.705,49,44,3.798,30,30,1.623,3.023,4.646,37,12,4.695,15,15,8.961,772,284,50,354,84,393,277,116,1.165,23,7,1.195,2.287,1.361,37,19,2.490,1.390,97,
16,Ninhue,16204,21,21,6.078,253,824,697,320,15,105,191,2.405,24,22,2.451,21,21,1.088,1.909,2.997,21,6,3.024,11,11,6.104,398,213,17,143,25,226,132,94,624,9,1,634,1.353,547,14,6,2.319,1.235,81,
5,Nogales,5506,66,66,19.714,2.325,1.501,1.094,925,130,899,2.388,9.262,60,55,9.377,66,66,7.507,3.354,10.861,80,35,10.976,33,33,19.416,1.156,304,74,649,129,2.095,1.147,948,3.251,60,6,3.317,9.520,1.221,46,25,3.210,6.362,314,
9,Nueva Imperial,9111,91,91,30.850,2.196,4.696,2.301,1.191,178,1.011,1.647,13.220,164,102,13.486,91,91,7.395,8.494,15.889,166,55,16.110,30,30,30.299,1.811,676,99,752,284,1.752,1.112,640,3.563,49,8,3.620,8.765,3.218,83,34,10.795,9.327,760,Incluye Cholchol
16,Ñiquén,16303,34,34,10.758,531,2.000,632,610,35,301,518,4.627,46,58,4.731,34,34,1.790,3.685,5.475,34,17,5.526,12,12,10.558,925,500,20,333,72,421,282,139,1.346,13,5,1.364,2.003,1.228,17,11,4.429,1.739,118,
13,Ñuñoa,13120,616,616,198.985,48.166,29.425,12.316,23.081,1.822,4.561,2.753,122.124,601,276,123.001,616,616,81.608,55.389,136.997,1.414,593,139.004,309,309,196.497,27.925,8.133,4.024,13.444,2.324,52.200,35.247,16.953,80.125,588,112,80.825,95.362,29.798,226,122,50.531,67.789,1.720,
11,O'Higgins,11302,3,3,758,75,142,47,26,3,5,16,314,5,6,325,3,3,151,168,319,1,1,321,2,2,745,56,32,3,6,15,40,20,20,96,0,0,96,153,83,0,0,159,8,5,
6,Olivar,6111,42,42,12.567,1.324,1.701,718,835,46,493,1.076,6.193,55,32,6.280,42,42,3.900,3.372,7.272,66,18,7.356,21,21,12.354,1.242,313,68,781,80,1.152,826,326,2.394,30,3,2.427,5.121,1.336,17,11,2.279,2.879,155,
2,Ollagüe,2202,6,6,1.663,29,53,25,12,3,27,220,369,2,1,372,6,6,102,122,224,6,4,234,2,2,1.667,23,13,0,4,6,25,15,10,48,1,1,50,317,61,1,0,113,42,16,
5,Olmué,5803,49,49,16.687,1.925,2.624,760,1.000,101,561,893,7.864,69,44,7.977,49,49,4.771,4.543,9.314,85,20,9.419,17,17,16.376,1.515,478,154,706,177,1.593,935,658,3.108,46,11,3.165,5.984,1.997,39,11,3.685,3.172,241,
10,Osorno,10301,459,459,143.216,14.256,21.365,9.994,7.717,838,3.309,9.914,67.393,496,241,68.130,459,459,40.375,37.894,78.269,620,173,79.062,154,154,138.316,12.530,3.410,942,7.011,1.167,12.391,7.778,4.613,24.921,353,47,25.321,51.694,18.202,244,116,30.038,41.554,1.553,
4,Ovalle,4301,273,273,92.330,8.759,7.746,5.570,3.734,420,2.764,7.709,36.702,311,192,37.205,273,273,27.498,16.243,43.741,387,136,44.264,92,92,90.731,4.949,1.535,422,2.480,512,7.755,4.442,3.313,12.704,241,31,12.976,34.181,5.898,151,89,20.110,22.136,1.598,
13,Padre Hurtado,13604,136,136,46.684,7.120,5.178,2.626,2.775,418,3.123,3.527,24.767,194,87,25.048,136,136,19.359,10.189,29.548,203,69,29.820,68,68,44.945,4.572,1.363,373,2.298,538,7.628,4.607,3.021,12.200,204,20,12.424,22.498,3.501,95,22,,,,
9,Padre Las Casas,9112,175,175,59.516,4.409,9.271,2.982,2.511,265,1.852,4.368,25.658,260,185,26.103,175,175,13.289,16.904,30.193,526,93,30.812,59,59,57.656,4.193,1.308,260,2.109,516,3.681,2.319,1.362,7.874,134,13,8.021,16.892,7.020,142,67,,,,
4,Paiguano,4105,16,16,5.295,576,488,289,274,37,146,277,2.087,17,14,2.118,16,16,1.648,1.077,2.725,22,7,2.754,8,8,5.267,410,71,29,163,147,414,207,207,824,6,1,831,1.958,442,8,6,1.605,594,78,
14,Paillaco,14107,66,66,19.298,1.428,3.333,1.171,801,94,333,1.226,8.386,81,73,8.540,66,66,4.229,5.814,10.043,79,22,10.144,22,22,18.841,1.398,485,89,615,209,1.134,698,436,2.532,44,12,2.588,5.434,2.188,27,24,5.981,4.395,262,
13,Paine,13404,166,166,55.091,7.020,8.428,2.699,2.743,266,2.099,3.212,26.467,210,125,26.802,166,166,17.697,14.711,32.408,234,73,32.715,54,54,53.845,5.200,1.730,461,2.504,505,6.333,3.810,2.523,11.533,229,33,11.795,22.637,5.141,115,58,10.940,8.113,547,
10,Palena,10404,7,7,2.322,160,307,157,81,7,20,57,789,8,14,811,7,7,441,530,971,3,5,979,4,4,2.302,108,44,7,46,11,95,58,37,203,2,1,206,422,202,6,6,579,394,26,
6,Palmilla,6306,31,31,10.565,819,1.127,1.231,671,39,275,469,4.631,33,39,4.703,31,31,3.119,2.832,5.951,33,19,6.003,16,16,10.223,807,167,30,561,49,578,366,212,1.385,10,2,1.397,3.500,822,8,6,3.440,2.127,133,
14,Panguipulli,14108,108,108,35.619,2.368,4.900,1.954,1.329,169,906,1.836,13.462,204,164,13.830,108,108,7.035,8.907,15.942,162,69,16.173,38,38,34.986,2.400,882,185,1.034,299,2.065,1.296,769,4.465,68,22,4.555,8.572,3.697,108,72,8.440,7.255,488,
5,Panquehue,5704,20,20,6.643,714,870,389,331,28,229,711,3.272,33,25,3.330,20,20,2.398,1.541,3.939,25,8,3.972,10,10,6.516,575,141,35,348,51,464,292,172,1.039,12,1,1.052,2.858,718,12,0,1.484,1.544,80,
5,Papudo,5403,22,22,6.309,869,904,497,658,34,195,458,3.615,14,10,3.639,22,22,2.318,1.969,4.287,33,5,4.325,12,12,6.126,831,220,62,435,114,820,483,337,1.651,10,3,1.664,2.780,701,13,5,1.178,864,18,
6,Paredones,6206,24,24,7.049,634,752,708,523,24,155,217,3.013,28,53,3.094,24,24,2.065,1.814,3.879,16,11,3.906,12,12,6.973,526,156,22,293,55,446,282,164,972,9,3,984,1.974,467,21,9,2.017,2.366,148,
7,Parral,7404,128,128,38.210,2.752,6.504,2.394,2.552,109,829,1.551,16.691,156,108,16.955,128,128,8.455,12.120,20.575,155,41,20.771,43,43,37.404,3.187,1.050,216,1.559,362,2.272,1.545,727,5.459,70,8,5.537,10.252,4.520,88,37,13.645,8.801,541,
13,Pedro Aguirre Cerda,13121,337,337,91.490,17.001,7.558,5.048,4.531,1.402,5.661,3.541,44.742,400,288,45.430,337,337,39.838,14.930,54.768,393,118,55.279,99,99,90.663,6.340,2.057,451,3.074,758,17.275,7.625,9.650,23.615,328,43,23.986,48.614,6.787,228,81,25.931,55.320,1.788,
7,Pelarco,7106,26,26,8.675,549,1.127,595,528,29,248,561,3.637,41,15,3.693,26,26,2.000,2.648,4.648,28,10,4.686,9,9,8.434,643,209,46,303,85,419,268,151,1.062,23,1,1.086,2.589,783,15,4,5.012,3.314,195,Incluye parte de San Rafael
7,Pelluhue,7203,26,26,7.912,692,1.813,531,499,34,179,274,4.022,66,36,4.124,26,26,1.748,3.292,5.040,33,12,5.085,13,13,7.697,779,337,55,291,96,570,346,224,1.349,8,2,1.359,1.944,952,14,7,1.988,850,57,
16,Pemuco,16105,29,29,8.294,424,1.364,574,423,20,172,390,3.367,29,13,3.409,29,29,1.524,2.756,4.280,23,14,4.317,14,14,8.227,752,211,30,309,202,342,212,130,1.094,17,2,1.113,1.935,924,10,11,3.507,1.168,89,
7,Pencahue,7107,37,37,10.371,634,1.686,936,656,24,269,584,4.789,44,42,4.875,37,37,2.356,3.569,5.925,36,12,5.973,19,19,10.319,878,309,53,393,123,530,353,177,1.408,25,5,1.438,2.928,1.219,18,4,2.210,2.388,136,
8,Penco,8107,125,125,42.186,4.384,4.823,3.466,1.798,296,1.651,4.424,20.842,176,110,21.128,125,125,14.642,10.109,24.751,215,78,25.044,42,42,41.055,2.916,810,238,1.496,372,4.452,2.865,1.587,7.368,142,17,7.527,18.663,4.342,92,38,5.485,16.430,497,
13,Peñaflor,13605,215,215,73.422,10.887,7.694,4.238,4.229,599,4.264,5.103,37.014,290,132,37.436,215,215,29.355,15.169,44.524,355,93,44.972,108,108,71.729,6.374,1.864,496,3.354,660,11.528,6.726,4.802,17.902,256,35,18.193,36.889,6.127,103,71,15.358,23.900,933,Incluye Padre Hurtado
13,Peñalolén,13122,582,582,190.640,30.779,19.448,11.182,14.947,1.664,9.789,7.114,94.923,677,343,95.943,582,582,74.839,39.836,114.675,959,377,116.011,194,194,187.794,19.120,6.091,2.037,9.374,1.618,31.620,19.312,12.308,50.740,673,71,51.484,96.529,18.088,440,169,31.376,54.729,2.043,
6,Peralillo,6307,30,30,10.158,915,1.092,921,772,40,273,392,4.405,21,17,4.443,30,30,3.284,2.630,5.914,43,20,5.977,15,15,9.950,779,237,31,466,45,710,516,194,1.489,11,7,1.507,3.608,911,15,6,3.037,2.558,93,
9,Perquenco,9113,21,21,6.814,383,1.251,458,174,36,185,456,2.943,39,22,3.004,21,21,1.555,2.162,3.717,35,10,3.762,11,11,6.692,462,139,38,248,37,328,191,137,790,13,2,805,1.778,757,11,7,1.820,1.328,76,
5,Petorca,5404,30,30,9.415,1.175,671,712,361,54,374,742,4.089,48,30,4.167,30,30,3.678,1.370,5.048,42,12,5.102,15,15,9.179,357,108,33,189,27,806,402,404,1.163,9,1,1.173,4.146,458,20,15,1.899,3.066,212,
6,Peumo,6112,39,39,12.895,1.500,1.260,985,770,84,505,791,5.895,67,68,6.030,39,39,4.842,2.524,7.366,54,19,7.439,20,20,12.701,817,229,60,444,84,1.112,654,458,1.929,26,5,1.960,5.355,843,18,14,2.950,4.440,136,
1,Pica,1405,21,22,5.663,403,758,305,203,27,100,743,2.539,15,11,2.565,22,22,1.290,1.426,2.716,12,6,2.734,9,9,5.560,397,176,17,175,29,359,175,184,756,7,1,764,1.769,646,16,4,766,452,40,
6,Pichidegua,6113,50,50,17.017,1.541,1.614,1.232,1.138,83,464,745,6.817,48,90,6.955,50,50,4.977,3.626,8.603,53,23,8.679,17,17,16.634,1.031,298,51,630,52,1.052,705,347,2.083,15,5,2.103,5.350,1.080,22,19,4.528,4.608,170,
6,Pichilemu,6201,49,49,16.735,2.204,1.996,1.173,1.602,113,553,746,8.387,78,55,8.520,49,49,5.797,4.495,10.292,83,27,10.402,24,24,16.112,1.620,451,111,943,115,1.792,1.105,687,3.412,26,4,3.442,6.173,1.407,29,9,3.001,3.154,165,
16,Pinto,16106,37,37,11.523,578,2.626,457,726,34,256,446,5.123,38,38,5.199,37,37,1.646,5.046,6.692,56,14,6.762,17,17,11.248,1.195,495,77,525,98,527,355,172,1.722,16,8,1.746,2.235,2.014,29,22,4.493,1.358,151,
13,Pirque,13202,80,80,23.505,3.587,3.614,1.504,1.992,151,1.025,849,12.722,85,44,12.851,80,80,8.298,6.418,14.716,125,35,14.876,40,40,22.775,3.102,880,391,1.589,242,3.600,2.247,1.353,6.702,76,17,6.795,10.055,2.994,35,18,3.692,2.531,140,
9,Pitrufquén,9114,69,69,23.226,1.573,4.487,1.241,974,82,572,1.077,10.006,77,46,10.129,69,69,4.489,7.534,12.023,87,27,12.137,24,24,22.667,1.730,664,105,746,215,1.280,810,470,3.010,31,8,3.049,5.566,2.947,44,10,6.007,5.133,298,
6,Placilla,6308,25,25,8.296,643,977,722,580,47,282,636,3.887,42,33,3.962,25,25,2.666,2.104,4.770,29,10,4.809,13,13,8.173,621,213,50,296,62,535,337,198,1.156,18,2,1.176,3.222,703,15,5,2.438,1.762,101,
16,Portezuelo,16205,23,23,5.797,308,1.068,574,371,23,116,207,2.667,29,22,2.718,23,23,1.204,2.032,3.236,20,7,3.263,10,10,5.768,578,383,18,138,39,244,173,71,822,8,2,832,1.420,606,7,5,2.210,1.491,91,
12,Porvenir,12301,20,20,6.108,761,581,304,166,18,193,245,2.268,39,19,2.326,20,20,1.585,820,2.405,16,4,2.425,6,6,5.912,225,62,30,96,37,383,280,103,608,8,0,616,1.539,321,6,0,1.698,1.641,52,
1,Pozo Almonte,1401,47,47,11.891,544,1.260,664,229,58,276,2.049,5.080,46,29,5.155,47,47,2.121,2.460,4.581,54,15,4.650,13,13,11.445,498,207,31,179,81,578,299,279,1.076,18,7,1.101,3.730,1.076,29,11,1.734,1.399,119,
12,Primavera,12302,4,4,1.229,63,66,43,31,4,46,51,304,7,2,313,4,4,215,100,315,5,1,321,2,2,1.239,31,9,4,16,2,41,34,7,72,1,1,74,218,35,0,0,276,336,13,
13,Providencia,13123,508,508,170.892,28.918,30.146,10.293,22.138,830,2.059,1.301,95.685,414,196,96.295,508,508,49.489,53.017,102.506,1.434,705,104.645,254,254,169.615,29.871,9.627,5.591,12.728,1.925,34.203,26.216,7.987,64.074,411,75,64.560,60.130,33.672,207,100,53.476,39.504,1.183,
5,Puchuncaví,5105,65,65,16.733,2.319,1.920,907,1.357,126,793,1.357,8.779,64,27,8.870,65,65,6.088,4.007,10.095,79,37,10.211,26,26,16.107,1.600,427,161,868,144,2.046,1.138,908,3.646,40,9,3.695,7.244,1.372,19,24,2.899,2.727,150,
9,Pucón,9115,86,86,29.594,2.900,4.592,1.089,1.595,136,593,1.352,12.257,93,57,12.407,86,86,6.761,8.101,14.862,120,42,15.024,29,29,28.742,2.548,651,246,1.430,221,2.577,1.579,998,5.125,57,12,5.194,8.176,3.140,36,23,4.938,2.121,139,
13,Pudahuel,13124,510,510,169.810,26.748,15.261,8.275,8.815,2.028,10.563,8.610,80.300,647,259,81.206,510,510,67.932,31.216,99.148,648,214,100.010,170,170,166.191,12.910,4.025,914,6.488,1.483,27.431,14.554,12.877,40.341,643,78,41.062,87.139,12.162,302,122,22.581,39.979,1.539,
13,Puente Alto,13201,1.276,1.276,403.129,68.855,33.878,18.237,23.319,4.072,22.293,19.335,189.989,1.745,546,192.280,1.276,1.276,162.789,68.773,231.562,1.539,420,233.521,425,425,395.114,29.142,7.269,2.116,16.366,3.391,64.051,35.245,28.806,93.193,1.521,177,94.891,204.801,26.598,641,238,33.609,57.600,2.362,
10,Puerto Montt,10101,573,573,189.727,18.860,28.790,9.339,9.453,1.209,5.555,14.459,87.665,644,498,88.807,573,573,50.219,51.349,101.568,828,287,102.683,193,193,183.537,14.392,3.962,1.171,7.626,1.633,18.125,11.999,6.126,32.517,486,83,33.086,65.567,22.314,276,159,28.882,32.465,1.375,
10,Puerto Octay,10302,30,30,9.074,651,1.245,956,318,42,201,645,4.058,29,27,4.114,30,30,2.592,2.095,4.687,36,11,4.734,10,10,8.846,547,251,39,217,40,449,255,194,996,15,5,1.016,2.623,945,11,12,2.603,2.444,110,
10,Puerto Varas,10109,128,128,43.875,4.459,9.205,2.276,3.841,191,897,2.150,23.019,132,122,23.273,128,128,11.164,15.117,26.281,288,110,26.679,45,45,42.438,5.375,1.350,797,2.905,323,3.981,2.904,1.077,9.356,84,17,9.457,14.005,7.734,64,51,6.642,5.405,232,
6,Pumanque,6309,13,13,4.262,356,534,383,346,27,133,125,1.904,8,17,1.929,13,13,1.221,1.220,2.441,14,5,2.460,7,7,4.233,399,106,22,252,19,240,142,98,639,5,1,645,1.222,342,6,4,1.306,880,35,
4,Punitaqui,4304,32,32,10.782,819,682,709,296,31,262,1.244,4.043,44,45,4.132,32,32,3.043,1.518,4.561,40,23,4.624,11,11,10.607,314,127,21,140,26,703,440,263,1.017,15,5,1.037,3.627,505,27,24,2.390,2.971,212,
12,Punta Arenas,12101,400,400,121.724,17.375,15.589,4.993,4.782,537,5.482,7.174,55.932,475,192,56.599,400,400,38.851,24.464,63.315,598,150,64.063,126,126,118.621,7.951,2.338,765,3.503,1.345,15.534,11.953,3.581,23.485,582,64,24.131,42.928,11.009,131,60,27.156,39.864,1.382,
10,Puqueldón,10206,14,14,4.406,299,287,217,102,14,83,293,1.295,23,12,1.330,14,14,1.159,610,1.769,9,7,1.785,7,7,4.379,80,24,6,38,12,188,101,87,268,1,1,270,1.051,130,6,7,1.203,914,50,
9,Purén,9208,39,39,12.240,615,2.644,924,398,49,230,405,5.265,44,32,5.341,39,39,2.105,4.300,6.405,25,21,6.451,13,13,12.036,904,318,47,449,90,556,356,200,1.460,22,3,1.485,2.657,1.583,30,19,4.644,2.768,193,
10,Purranque,10303,71,71,19.788,1.317,3.456,1.691,882,79,426,1.082,8.933,104,89,9.126,71,71,4.509,5.830,10.339,68,44,10.451,21,21,19.365,1.481,512,96,741,132,1.080,657,423,2.561,33,15,2.609,5.168,2.655,36,32,6.204,5.412,249,
5,Putaendo,5705,42,42,14.163,1.807,1.382,1.031,628,119,536,944,6.447,64,36,6.547,42,42,5.049,2.676,7.725,51,20,7.796,14,14,13.909,761,174,52,467,68,1.359,768,591,2.120,20,1,2.141,6.222,968,32,24,2.900,4.102,229,
15,Putre,15201,19,19,5.748,179,658,268,91,20,88,648,1.952,23,26,2.001,19,19,493,948,1.441,23,5,1.469,6,6,5.549,80,41,6,16,17,44,21,23,124,7,1,132,719,346,7,3,1.425,231,58,
10,Puyehue,10304,35,35,11.691,753,1.790,1.151,413,42,267,598,5.014,46,38,5.098,35,35,2.899,3.417,6.316,47,22,6.385,12,12,11.237,701,266,44,330,61,542,308,234,1.243,22,5,1.270,3.208,1.432,33,20,3.039,2.622,129,
10,Queilén,10207,19,19,6.234,493,520,663,212,29,117,315,2.349,20,34,2.403,19,19,1.573,1.104,2.677,16,7,2.700,10,10,6.167,182,52,8,101,21,307,167,140,489,5,4,498,1.320,168,2,4,1.589,785,90,
10,Quellón,10208,70,70,23.017,1.748,2.123,1.660,694,111,441,1.747,8.524,112,146,8.782,70,70,5.543,4.458,10.001,104,46,10.151,24,24,22.548,800,230,68,386,116,1.417,775,642,2.217,38,15,2.270,6.745,1.804,57,51,4.583,2.222,170,
10,Quemchi,10209,34,34,8.963,587,789,596,291,30,145,345,2.783,27,55,2.865,34,34,1.974,1.697,3.671,20,13,3.704,11,11,8.978,290,122,20,102,46,332,170,162,622,3,5,630,1.922,377,9,16,3.025,1.707,93,
8,Quilaco,8308,15,15,4.359,235,668,409,194,11,79,233,1.829,13,26,1.868,15,15,1.005,1.337,2.342,15,12,2.369,8,8,4.250,301,113,14,141,33,179,115,64,480,2,0,482,1.122,408,18,6,1.507,778,58,
13,Quilicura,13125,418,418,141.793,22.630,12.966,6.869,8.028,1.468,8.281,8.671,68.913,657,186,69.756,418,418,57.492,27.092,84.584,532,168,85.284,139,139,138.285,11.287,3.268,786,6.041,1.192,23.708,13.159,10.549,34.995,555,66,35.616,73.637,10.120,216,75,7.002,10.050,441,
8,Quilleco,8309,34,34,9.620,410,1.479,572,399,43,244,675,3.822,59,50,3.931,34,34,1.546,3.126,4.672,28,15,4.715,10,10,9.311,474,175,16,189,94,381,278,103,855,22,5,882,2.203,998,23,16,3.897,1.836,155,
16,Quillón,16107,49,49,15.977,839,2.479,996,827,71,420,970,6.602,68,37,6.707,49,49,3.084,5.248,8.332,73,20,8.425,17,17,15.468,1.356,559,74,534,189,842,597,245,2.198,39,8,2.245,4.072,1.793,32,16,4.733,3.506,283,
5,Quillota,5501,223,223,75.874,9.253,9.930,3.514,4.514,565,3.009,5.680,36.465,298,116,36.879,223,223,23.622,18.538,42.160,335,100,42.595,75,75,74.299,6.487,1.558,498,3.687,744,8.293,5.261,3.032,14.780,174,23,14.977,30.871,7.933,149,51,16.601,20.402,911,
5,Quilpué,5801,398,398,135.645,20.664,19.868,6.164,8.711,1.076,5.615,8.243,70.341,515,188,71.044,398,398,46.570,33.856,80.426,685,197,81.308,133,133,132.825,12.124,3.213,1.018,6.255,1.638,18.955,12.124,6.831,31.079,461,43,31.583,57.470,16.247,270,72,23.233,33.231,1.605,
10,Quinchao,10210,32,32,9.251,712,515,626,191,25,127,276,2.472,29,33,2.534,32,32,2.405,1.128,3.533,28,20,3.581,12,12,9.111,208,88,24,76,20,444,249,195,652,15,5,672,2.536,416,19,18,2.228,2.073,217,
6,Quinta de Tilcoco,6114,37,37,12.463,1.464,1.441,782,784,72,420,810,5.773,60,59,5.892,37,37,4.183,3.093,7.276,58,25,7.359,19,19,12.263,996,276,48,578,94,1.104,662,442,2.100,27,5,2.132,5.504,929,17,10,2.983,2.982,156,
13,Quinta Normal,13126,304,304,101.182,15.938,9.933,4.830,5.451,1.068,5.075,3.301,45.596,362,128,46.086,304,304,36.627,19.317,55.944,369,119,56.432,102,102,99.794,7.784,2.749,597,3.536,902,15.957,8.077,7.880,23.741,355,35,24.131,46.729,8.235,180,75,27.677,46.516,1.666,
5,Quintero,5107,74,74,25.195,3.085,2.997,1.165,1.237,186,1.281,2.289,12.240,89,56,12.385,74,74,8.633,5.427,14.060,108,50,14.218,25,25,24.377,1.748,517,138,877,216,2.578,1.577,1.001,4.326,52,12,4.390,10.452,2.400,70,21,4.592,4.541,275,Incluye parte de Concón
16,Quirihue,16201,37,37,10.977,758,1.357,1.337,703,43,243,595,5.036,78,85,5.199,37,37,2.665,3.051,5.716,59,17,5.792,19,19,10.846,615,269,47,240,59,577,379,198,1.192,7,4,1.203,3.159,781,32,14,3.416,3.185,165,
